Academic Year,Scholarship Name,Sector Type,TAP Sector Group,TAP College Code,Federal School Code,TAP College Name,Scholarship Headcount,Scholarship Dollars
2019,Excelsior Scholarship Program,PUBLIC,4-SUNY CC,975,2866,FASHION INST TECH UPPER DIVISION,192,876270
2019,Excelsior Scholarship Program,PUBLIC,4-SUNY CC,2070,2866,FASHION INST TECH-LOWER DIVISION,208,618901
2019,Excelsior Scholarship Program,PUBLIC,4-SUNY CC,2256,7532,FINGER LAKES COMMUNITY COLLEGE,187,566869
2019,Excelsior Scholarship Program,PUBLIC,4-SUNY CC,2240,2867,FULTON MONTGOMERY COMM COLLEGE,75,204051
2019,Excelsior Scholarship Program,PUBLIC,4-SUNY CC,2252,6782,GENESEE COMMUNITY COLLEGE,121,315194
2019,Excelsior Scholarship Program,PUBLIC,4-SUNY CC,2254,4788,HERKIMER COMMUNITY COLLEGE,90,255074
2019,Excelsior Scholarship Program,PUBLIC,4-SUNY CC,2080,2868,HUDSON VALLEY COMMUNITY COLLEGE,398,1107722
2019,Excelsior Scholarship Program,PUBLIC,4-SUNY CC,2085,2869,JAMESTOWN COMMUNITY COLLEGE,93,250577
2019,Excelsior Scholarship Program,PUBLIC,4-SUNY CC,2220,2870,JEFFERSON COMMUNITY COLLEGE,99,268953
2019,Excelsior Scholarship Program,PUBLIC,4-SUNY CC,2105,2871,MOHAWK VALLEY COMMUNITY COLLEGE,154,399196
2019,Excelsior Scholarship Program,PUBLIC,4-SUNY CC,2180,2872,MONROE COMMUNITY COLLEGE,355,897658
2019,Excelsior Scholarship Program,PUBLIC,4-SUNY CC,2113,2873,NASSAU COMMUNITY COLLEGE,288,789149
2019,Excelsior Scholarship Program,PUBLIC,4-SUNY CC,2215,2874,NIAGARA COMMUNITY COLLEGE,178,477495
2019,Excelsior Scholarship Program,PUBLIC,4-SUNY CC,2258,7111,NORTH COUNTRY COMMUNITY COLLEGE,18,39610
2019,Excelsior Scholarship Program,PUBLIC,4-SUNY CC,2185,2875,ONONDAGA COMMUNITY COLLEGE,252,744198
2019,Excelsior Scholarship Program,PUBLIC,4-SUNY CC,2125,2876,ORANGE COUNTY COMMUNITY COLLEGE,105,309115
2019,Excelsior Scholarship Program,PUBLIC,4-SUNY CC,2147,2877,ROCKLAND COMMUNITY COLLEGE,129,354904
2019,Excelsior Scholarship Program,PUBLIC,4-SUNY CC,2243,6785,SCHENECTADY COUNTY COMM COLLEGE,98,230334
2019,Excelsior Scholarship Program,PUBLIC,4-SUNY CC,2157,2878,SUFFOLK COMMUNITY COLLEGE,594,1845655
2019,Excelsior Scholarship Program,PUBLIC,4-SUNY CC,2225,2879,SULLIVAN COMMUNITY COLLEGE,48,130323
2019,Excelsior Scholarship Program,PUBLIC,4-SUNY CC,2260,6788,TOMPKINS CORTLAND COMM COLLEGE,67,180021
2019,Excelsior Scholarship Program,PUBLIC,4-SUNY CC,2230,2880,ULSTER COMMUNITY COLLEGE,79,205786
2019,Excelsior Scholarship Program,PUBLIC,4-SUNY CC,2160,2881,WESTCHESTER COMMUNITY COLLEGE,126,293998
2018,Excelsior Scholarship Program,PUBLIC,1-CUNY SR,1409,7273,CUNY BARUCH COLLEGE,498,1800116.45
2018,Excelsior Scholarship Program,PUBLIC,1-CUNY SR,1410,2687,CUNY BROOKLYN COLLEGE,437,1633661.24
2018,Excelsior Scholarship Program,PUBLIC,1-CUNY SR,1411,2688,CUNY CITY COLLEGE,385,1327635.14
2018,Excelsior Scholarship Program,PUBLIC,1-CUNY SR,1417,2698,CUNY COL STATEN ISLAND,305,1170693.93
2018,Excelsior Scholarship Program,PUBLIC,1-CUNY SR,1412,7022,CUNY HERBERT H LEHMAN COLLEGE,241,842838.85
2018,Excelsior Scholarship Program,PUBLIC,1-CUNY SR,1413,2689,CUNY HUNTER COLLEGE,792,2651308.37
